"","x","y","layer_Categories","samples","yield","farm_stress","stressor","agg_stress","beef_disagg_stress","salmon_disagg_stress"
"1",100,19900,"Corn",0.0616255378732732,6328.97725797332,390.02662771032,"GHG",225.430107616529,13.3454589880394,151.251061105751
"2",300,19900,"Corn",0.178363239640689,3654.7258528035,651.868743104611,"GHG",376.771303468715,22.3048555114259,252.792584124471
"3",500,19900,"Corn",1.0688142488338,9335.9409327777,9978.3866952235,"GHG",5767.37234518837,341.428356288556,3869.58599374657
"4",700,19900,"Corn",0.713319148994086,6283.31100063558,4482.00605583855,"GHG",2590.53878817743,153.359857385847,1738.10741027527
"5",900,19900,"Corn",2.02051004722225,8686.10131538397,17550.3549789237,"GHG",10143.867445239,600.516800536803,6805.97073314793
"6",1100,19900,"Corn",0.312605887480868,4993.16724955089,1560.89347938626,"GHG",902.175287625043,53.4087634891403,605.309428272076
"7",1300,19900,"Corn",1.1347606212626,8448.13235331599,9586.60791775751,"GHG",5540.92951874723,328.022944361297,3717.65545464898
"8",1500,19900,"Corn",1.78063523440373,7991.48797509414,14229.9250637664,"GHG",8224.7039319647,486.902349350399,5518.31878245127
"9",1700,19900,"Corn",0.865135017774269,7343.37076701873,6353.0071990478,"GHG",3671.95210485378,217.379509505136,2463.67558468888
"10",1900,19900,"Corn",0.695536441884427,8004.82174926166,5567.64523740053,"GHG",3218.02352933209,190.506944646015,2159.11476342242
"11",2100,19900,"Corn",0.686812474876859,11124.3415158749,7640.33652789341,"GHG",4416.01101909571,261.427786062728,2962.89772273498
"12",2300,19900,"Corn",0.685817443658856,7282.91109892579,4994.74747225999,"GHG",2886.89638140613,170.904222457772,1936.94686839609
"13",2500,19900,"Corn",0.868978379768428,7866.61553416771,6835.9188211422,"GHG",3951.06848102815,233.903194786169,2650.94714532788
"14",2700,19900,"Corn",0.984206336726116,10280.9731287276,10118.5989010047,"GHG",5848.41310085153,346.225967807699,3923.95983234544
"15",2900,19900,"Corn",0.748872709423257,5711.41312888976,4277.12142446724,"GHG",2472.11824655915,146.349363099092,1658.653814809
"16",3100,19900,"Corn",0.127292935756674,7299.46250571729,929.170011798518,"GHG",537.047680522377,31.7932146278563,360.329116648285
"17",3300,19900,"Corn",0.106227487180007,9119.36475358156,968.727202450889,"GHG",559.911200887952,33.1467346904028,375.669266872534
"18",3500,19900,"Corn",0.732530421277286,7331.86848067627,5370.81670689944,"GHG",3104.25930489094,183.772104266272,2082.78529774223
"19",3700,19900,"Beef",16.6104848250875,16.6440443845172,276.465646677107,"GHG",413.782437372141,276.465646677107,276.465646677107
"20",3900,19900,"Beef",17.9318141449969,42.5913585689506,763.740326041345,"GHG",1143.07993570671,763.740326041345,763.740326041345
"21",4100,19900,"Beef",5.00028484953382,32.9044676058391,164.531710851454,"GHG",246.252412042484,164.531710851454,164.531710851454
"22",4300,19900,"Beef",18.2716699603723,49.7687261326903,909.357738244672,"GHG",1361.02356982372,909.357738244672,909.357738244672
"23",4500,19900,"Corn",0.835777692488462,9464.31778671722,7910.06568076003,"GHG",4571.91081577112,270.657051686443,3067.49781330246
"24",4700,19900,"Corn",0.664750529168628,6471.81021988717,4302.13926834893,"GHG",2486.57822143751,147.205393394902,1668.35565351652
"25",4900,19900,"Corn",0.60536597203874,6307.47787232811,3818.33247329475,"GHG",2206.94444741817,130.65107816921,1480.73694770737
"26",5100,19900,"Corn",0.727655237751397,7224.92005771858,5257.25092233405,"GHG",3038.61981974495,179.886247730631,2038.74485485847
"27",5300,19900,"Corn",1.71901537370895,12441.5462213835,21387.2092272686,"GHG",12361.517227745,731.801634382562,8293.89036514107
"28",5500,19900,"Corn",2.20621523623291,7223.17320788874,15935.8747851935,"GHG",9210.71976259494,545.274471727314,6179.88055087123
"29",5700,19900,"Corn",0.937339969059741,7653.39985483604,7173.83758313383,"GHG",4146.38094809898,245.465689905856,2781.990945129
"30",5900,19900,"Corn",0.309249873313954,8719.75661946663,2696.58362989857,"GHG",1558.58881085549,92.2684342140815,1045.72638482899
"31",6100,19900,"Corn",0.315951762831854,5503.70966477449,1738.90677070021,"GHG",1005.06455868241,59.499806791755,674.34240522605
"32",6300,19900,"Corn",1.03922573491808,6857.76810286274,7126.76909659527,"GHG",4119.17600045726,243.855157413711,2763.7379387243
"33",6500,19900,"Corn",0.895312379279878,10376.2986836721,9290.02866259716,"GHG",5369.51072665059,317.874954441528,3602.64298150504
"34",6700,19900,"Corn",0.14384608994308,8816.24393637602,1268.18221823208,"GHG",732.992143669123,43.3931239057533,491.796950657202
"35",6900,19900,"Corn",0.73407112189861,9678.84050433968,7104.95730769834,"GHG",4106.5690819317,243.10882802618,2755.27939774046
"36",7100,19900,"Corn",0.461474787309527,4719.04218501309,2177.7189886336,"GHG",1258.69207661086,74.5145520471228,844.512359975622
"37",7300,19900,"Corn",0.57840387007465,5547.23090303407,3208.5398225126,"GHG",1854.49255535995,109.785931448342,1244.26133570431
"38",7500,19900,"Corn",1.71009854163158,4430.83373587566,7577.16230993297,"GHG",4379.49717685623,259.266167150086,2938.39896592666
"39",7700,19900,"Corn",1.31493894701112,8339.75143222568,10966.2639666253,"GHG",6338.35202652806,375.230344855607,4252.68159524164
"40",7900,19900,"Corn",0.433357742750696,7031.2551664427,3047.04886763378,"GHG",1761.15297095479,104.260229452233,1181.63566722676
"41",8100,19900,"Corn",0.0909819510681407,10265.3732780822,933.963689282671,"GHG",539.818361174299,31.9572388808726,362.1880892275
"42",8300,19900,"Corn",1.77538680904173,7309.2157473059,12976.685222207,"GHG",7500.34827960681,444.020505600669,5032.31643699949
"43",8500,19900,"Corn",0.125982787338854,8003.43985022154,1008.29566062977,"GHG",582.781233731224,34.5006402915312,391.013786607016
"44",8700,19900,"Corn",0.926225431969482,5787.82168768531,5360.82764283866,"GHG",3098.48576117309,183.430310564815,2078.91157110076
"45",8900,19900,"Corn",0.600033341418466,10423.4892405341,6254.44107823712,"GHG",3614.98222217644,214.006893305541,2425.45196275514
"46",9100,19900,"Corn",1.21258387079332,7140.05404484835,8657.91437137572,"GHG",5004.15722878164,296.246032850271,3357.5111097438
"47",9300,19900,"Beef",11.454446173763,43.7714723295484,501.37797374517,"GHG",750.405710490615,501.37797374517,501.37797374517
"48",9500,19900,"Beef",5.86931668932955,31.3168964557593,183.808783025793,"GHG",275.104148254807,183.808783025793,183.808783025793
"49",9700,19900,"Forest",NA,NA,NA,"GHG",NA,NA,NA
"50",9900,19900,"Forest",NA,NA,NA,"GHG",NA,NA,NA
"51",10100,19900,"Forest",NA,NA,NA,"GHG",NA,NA,NA
"52",10300,19900,"Beef",14.2340878500657,34.4169443938853,489.89381003339,"GHG",733.217516192497,489.89381003339,489.89381003339
"53",10500,19900,"Beef",17.968497246075,46.2872688564011,831.712662974575,"GHG",1244.81322368719,831.712662974575,831.712662974575
"54",10700,19900,"Beef",5.5990809070826,40.5780602810426,227.199842566032,"GHG",340.046966982984,227.199842566032,227.199842566032
