"","x","y","layer_Categories","samples","yield","farm_stress","stressor","agg_stress","prod","cost"
"1",100,19900,"Corn",0.0616255378732732,6328.97725797332,390.02662771032,"GHG",225.430107616529,6328.97725797332,0.0356187261271211
"2",300,19900,"Corn",0.178363239640689,3654.7258528035,651.868743104611,"GHG",376.771303468715,3654.7258528035,0.103091536449908
"3",500,19900,"Corn",1.0688142488338,9335.9409327777,9978.3866952235,"GHG",5767.37234518837,9335.9409327777,0.617760157943974
"4",700,19900,"Corn",0.713319148994086,6283.31100063558,4482.00605583855,"GHG",2590.53878817743,6283.31100063558,0.412288805681493
"5",900,19900,"Corn",2.02051004722225,8686.10131538397,17550.3549789237,"GHG",10143.867445239,8686.10131538397,1.16782743798684
"6",1100,19900,"Corn",0.312605887480868,4993.16724955089,1560.89347938626,"GHG",902.175287625043,4993.16724955089,0.180681968485272
"7",1300,19900,"Corn",1.1347606212626,8448.13235331599,9586.60791775751,"GHG",5540.92951874723,8448.13235331599,0.655876267915281
"8",1500,19900,"Corn",1.78063523440373,7991.48797509414,14229.9250637664,"GHG",8224.7039319647,7991.48797509414,1.02918304546004
"9",1700,19900,"Corn",0.865135017774269,7343.37076701873,6353.0071990478,"GHG",3671.95210485378,7343.37076701873,0.500036321377863
"10",1900,19900,"Corn",0.695536441884427,8004.82174926166,5567.64523740053,"GHG",3218.02352933209,8004.82174926166,0.402010641852071
"11",2100,19900,"Corn",0.686812474876859,11124.3415158749,7640.33652789341,"GHG",4416.01101909571,11124.3415158749,0.396968307094302
"12",2300,19900,"Corn",0.685817443658856,7282.91109892579,4994.74747225999,"GHG",2886.89638140613,7282.91109892579,0.396393192528732
"13",2500,19900,"Corn",0.868978379768428,7866.61553416771,6835.9188211422,"GHG",3951.06848102815,7866.61553416771,0.502257732549297
"14",2700,19900,"Corn",0.984206336726116,10280.9731287276,10118.5989010047,"GHG",5848.41310085153,10280.9731287276,0.568857930822675
"15",2900,19900,"Corn",0.748872709423257,5711.41312888976,4277.12142446724,"GHG",2472.11824655915,5711.41312888976,0.4328382820102
"16",3100,19900,"Corn",0.127292935756674,7299.46250571729,929.170011798518,"GHG",537.047680522377,7299.46250571729,0.0735735925901031
